identifier,product,d13C_permil,d15N_permil,region,farming_type
A1,A,-28.112030217420003,7.922995500000001,Bavaria,Organic
A2,A,-28.519272364800006,7.529497300000001,Bavaria,Organic
A3,A,-28.15912982928001,8.1980322,Bavaria,Organic
A4,A,-28.951513660580005,6.5766548,Bavaria,Organic
B1,B,-29.276517434880006,4.607103599999999,Almeria,Organic
B2,B,-27.610037120500007,4.294983299999999,Almeria,Organic
B3,B,-26.804461830960005,3.3751040000000003,Almeria,Organic
B4,B,-28.463933210540006,4.4680401,Almeria,Organic
C1,C,-29.825287032380004,1.0439877,Bavaria,Conventional
C2,C,-29.889664088280007,0.8894727,Bavaria,Conventional
C3,C,-30.563203987020007,0.1271987,Bavaria,Conventional
C4,C,-30.752687150560003,-0.037617299999999965,Bavaria,Conventional
D1,D,-32.81438456942001,-0.2189148999999999,Bavaria,Conventional
D2,D,-27.565188332940004,1.4869307,Bavaria,Conventional
D3,D,-28.576129302560005,0.5062754999999999,Bavaria,Conventional
E1,E,-31.98578299408001,0.4702219999999999,Bavaria,Conventional
E2,E,-32.53613487448,0.1035064,Bavaria,Conventional
E3,E,-32.60304296874,1.1851114,Bavaria,Conventional
E4,E,-31.977903522140004,0.060242200000000024,Bavaria,Conventional
F1,F,-30.916866278060006,-1.1799982,Bavaria,Conventional
F2,F,-30.854774139000003,-1.1151019,Bavaria,Conventional
F3,F,-30.660073281140008,-0.0386474,Bavaria,Conventional
F4,F,-31.083171019120005,-0.9214431,Bavaria,Conventional
G1,G,-30.056853187780003,7.290514099999999,Bavaria,Organic
G2,G,-30.754012562040007,6.244962599999999,Bavaria,Organic
G3,G,-30.495350618220005,6.1450429,Bavaria,Organic
G4,G,-31.935142467540004,7.831316599999999,Bavaria,Organic
H1,H,-28.459839341480006,7.3626211,Bavaria,Organic
H2,H,-28.798683048940006,7.3214171,Bavaria,Organic
H3,H,-28.805296489800007,8.3844803,Bavaria,Organic
H4,H,-28.597211699300008,7.290514099999999,Bavaria,Organic
I1,I,-29.441500143000006,3.0207496000000003,Souss-Massa,Conventional
I2,I,-29.447603321940008,3.6542610999999994,Souss-Massa,Conventional
I3,I,-28.831273674340004,1.9267834,Souss-Massa,Conventional
I4,I,-29.091584345680005,3.5491908999999993,Souss-Massa,Conventional
J1,J,-29.774526209340003,-0.32707539999999996,Souss-Massa,Conventional
J2,J,-30.09582608000001,-0.37239979999999995,Souss-Massa,Conventional
J3,J,-29.717205694940006,-0.8215234,Souss-Massa,Conventional
J4,J,-28.687715619300004,-0.010834699999999975,Souss-Massa,Conventional
B1,B,-29.276517434880006,4.607103599999999,Almeria,Organic
B1,B,-29.263803784100006,4.7523477,Almeria,Organic
B1,B,-29.282642216000006,4.6987825,Almeria,Organic
B1,B,-29.535618793660007,4.6081337,Almeria,Organic
B1,B,-29.225713100340005,4.7214447,Almeria,Organic
B4,B,-28.463933210540006,4.4680401,Almeria,Organic
B4,B,-28.23591493166001,4.6153444,Almeria,Organic
B4,B,-29.252148844900006,5.2869696,Almeria,Organic
J1,J,-29.764239988360004,1.9319339,Souss-Massa,Conventional
J1,J,-29.774526209340003,-0.32707539999999996,Souss-Massa,Conventional
J1,J,-29.610982759260008,-0.3991824,Souss-Massa,Conventional
J1,J,-29.634746795340007,-0.7926806,Souss-Massa,Conventional
J1,J,-29.543515260680003,-0.776199,Souss-Massa,Conventional
